,活动类别,持续时间,开始时间,结束时间,备注
88,总计,47h 59m 59s,,,
87,其他,16h 38m 41s,34.7,,
86,与家人的时间,12m 12s,0.4,,
85,饮食/用餐+玩手机/刷app,28m 0s,1.0,,
84,饮食+玩手机,28m 0s,1.0,,
83,洗澡数据/洗澡时间,10m 20s,0.4,,
82,洗澡数据/护肤时间,26m 5s,0.9,,
81,洗澡数据/洗漱,15m 43s,0.5,,
80,洗澡数据,52m 8s,1.8,,
79,饮食/用餐,24m 2s,0.8,,
78,饮食/烹饪,32m 4s,1.1,,
77,饮食,56m 6s,1.9,,
76,家务,1h 20m 47s,2.8,,
75,玩手机/睡前玩手机,1h 11m 55s,2.5,,
74,玩手机/意料外玩手机,36m 20s,1.3,,
73,玩手机/刷app,2h 8m 42s,4.5,,
72,玩手机,3h 56m 57s,8.2,,
71,专注总用时/思考/分析数据,1h 37m 0s,3.4,,
70,专注总用时/思考,1h 37m 0s,3.4,,
69,专注总用时/学习/编程课/总结用时,40m 36s,1.4,,
68,专注总用时/学习/编程课/编程用时,1h 22m 54s,2.9,,
67,专注总用时/学习/编程课/上课用时,1h 57m 24s,4.1,,
66,专注总用时/学习/编程课,4h 0m 54s,8.4,,
65,专注总用时/学习/阅读,52m 34s,1.8,,
64,专注总用时/学习/个人提升,1h 2m 19s,2.2,,
63,专注总用时/学习/复习,28m 0s,1.0,,
62,专注总用时/学习/专注前的准备工作,51m 51s,1.8,,
61,专注总用时/学习,7h 15m 38s,15.1,,
60,专注总用时,8h 52m 38s,18.5,,
59,睡眠记录/入睡时间+睡眠记录/睡眠,1h 9m 1s,2.4,,
58,睡眠记录/睡眠,13h 33m 29s,28.2,,
57,睡眠记录,14h 42m 30s,30.6,,
56,活动类别,持续时间,Percent,,
55,入睡时间,57m 15s,2月 06 23:59,2月 07 00:56,"躺在床上，闭眼听《更衣人偶》动漫从第一集到第三季一半。就睡着了

睡前有躺在床上刷手机。但是睡意来了，放下手机打开计时，sleep，forest专注。

在脑袋中复现动漫的画面。"
54,睡眠,7h 21m 8s,2月 06 23:59,2月 07 07:21,"睡眠时间实际大约6hr15min，睡眠质量69%

闹钟第二响： 用头梳按摩头部

按摩完，打开手机记录睡眠情况"
